source,session_id,score,threshold,accepted,anomaly_flagged,window_threshold,max_window_score
genuine,user9:session_0510101673,0.9090909090909091,0.5,True,False,0.28,0.96
genuine,user9:session_0626697371,1.0,0.5,True,False,0.28,0.96
genuine,user9:session_0815666379,1.0,0.5,True,True,0.28,0.9166666666666666
genuine,user9:session_1177848198,1.0,0.5,True,True,0.28,0.88
genuine,user9:session_1281792837,1.0,0.5,True,False,0.28,0.9466666666666667
genuine,user9:session_1334666365,1.0,0.5,True,True,0.28,0.9033333333333333
genuine,user9:session_1498771725,1.0,0.5,True,True,0.28,0.8533333333333334
genuine,user9:session_1814762834,1.0,0.5,True,True,0.28,0.9733333333333334
windmouse,windmouse_s00,0.0,0.5,False,True,0.28,0.22
windmouse,windmouse_s01,0.16666666666666666,0.5,False,True,0.28,0.32
windmouse,windmouse_s02,0.16666666666666666,0.5,False,True,0.28,0.33
windmouse,windmouse_s03,0.16666666666666666,0.5,False,True,0.28,0.2866666666666667
windmouse,windmouse_s04,0.0,0.5,False,True,0.28,0.27
windmouse,windmouse_s05,0.0,0.5,False,True,0.28,0.12333333333333334
windmouse,windmouse_s06,0.0,0.5,False,True,0.28,0.27666666666666667
windmouse,windmouse_s18,0.6,0.5,True,True,0.28,0.29333333333333333
dmtg,dmtg_s00,0.08333333333333333,0.5,False,True,0.28,0.28
dmtg,dmtg_s01,0.08333333333333333,0.5,False,True,0.28,0.3
dmtg,dmtg_s02,0.08333333333333333,0.5,False,True,0.28,0.3233333333333333
dmtg,dmtg_s03,0.0,0.5,False,True,0.28,0.22333333333333333
dmtg,dmtg_s04,0.0,0.5,False,True,0.28,0.19333333333333333
dmtg,dmtg_s05,0.08333333333333333,0.5,False,True,0.28,0.2866666666666667
dmtg,dmtg_s06,0.0,0.5,False,True,0.28,0.24666666666666667
dmtg,dmtg_s07,0.0,0.5,False,True,0.28,0.23666666666666666
